ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.974921022,-0.669330828,-1.273943038,-1551.589645,-0.683325003,-0.685382857,-1.24665687,-6.773968166,-0.071852712,-0.152222222,-0.11763285,0.401981599,-6.206358579,-3.353701578,-8.636591029,-0.467183609,-1.036722371,-0.459716261,-23,-12.63911355
-0.974794497,-0.668844276,-1.273675137,-1482.961308,-0.690927768,-0.696175592,-1.258141059,-6.770726312,-0.145517687,-0.138688525,-0.152215569,0.348609272,-6.077710279,-3.353701578,-8.636591029,-0.472693209,-1.043153173,-0.464489504,-22,-11.92263489
-0.975659461,-0.671727431,-1.272864836,-1414.41517,-0.698774945,-0.70732403,-1.270000153,-6.767444975,-0.169499933,-0.125346721,-0.192891502,0.320451422,-5.942920883,-3.353701578,-8.636591029,-0.475621461,-1.046426487,-0.468664851,-21,-11.20615116
-0.973958426,-0.670184702,-1.272052456,-1697.600067,-0.670039004,-0.669108658,-1.228537205,-6.777350259,0.00082696,-0.193077224,-0.079832747,0.434231595,-6.479389569,-3.353701578,-8.636591029,-0.462892049,-1.032230754,-0.452840377,-24.5,-13.73818439
-0.974921022,-0.669330838,-1.273976747,-1629.401692,-0.677152245,-0.679234568,-1.239304,-6.774218901,-0.059434967,-0.180229552,-0.107127014,0.405002484,-6.36485036,-3.353701578,-8.636591029,-0.46566956,-1.03521254,-0.450012453,-23.5,-13.02174535
-0.974794354,-0.668791045,-1.270439985,-1561.186101,-0.684485403,-0.689681293,-1.250408729,-6.771048808,-0.119179756,-0.1674643,-0.139287531,0.355353001,-6.244744403,-3.353701578,-8.636591029,-0.472100362,-1.042816994,-0.461185293,-22.5,-12.3053014
-0.97395859,-0.670333932,-1.274823297,-1774.900196,-0.664379863,-0.663542474,-1.221849332,-6.77752328,-0.002504552,-0.219134938,-0.072041908,0.434135777,-6.622761927,-3.353701578,-8.636591029,-0.460535865,-1.029661258,-0.444947829,-25,-14.12054479
-0.974921022,-0.669330838,-1.273976747,-1707.097167,-0.671251896,-0.673358953,-1.232276701,-6.774459057,-0.048150657,-0.207007957,-0.097493234,0.407200953,-6.515638041,-3.353701578,-8.636591029,-0.465553347,-1.035494165,-0.449311156,-24,-13.4041394
-0.974794511,-0.668924587,-1.274846571,-1639.276545,-0.678331634,-0.68347946,-1.243024011,-6.771357631,-0.113737655,-0.194961073,-0.127447704,0.36092128,-6.403424005,-3.353701578,-8.636591029,-0.470326589,-1.041003765,-0.45691561,-23,-12.68772922
-0.975756943,-0.667921483,-1.273966529,-1571.52737,-0.685628632,-0.693918306,-1.254106187,-6.768219739,-0.175649269,-0.183083983,-0.162579234,0.320578675,-6.286109481,-3.353701578,-8.636591029,-0.476159496,-1.047871861,-0.466914798,-22,-11.97131425
-0.976720585,-0.672060576,-1.300587236,-1571.52737,-0.685628632,-0.693918306,-1.254106187,-6.768219739,-0.093762712,-0.183083983,-0.162579234,0.351663419,-6.286109481,-3.353701578,-8.636591029,-0.474423649,-1.045810116,-0.470577412,-22,-11.97131425
-0.976621906,-0.670804637,-1.273156229,-1503.949603,-0.693153038,-0.704690708,-1.265539101,-6.765046314,-0.2000494,-0.17148384,-0.203673095,0.292521507,-6.16372788,-3.353701578,-8.636591029,-0.479087747,-1.051145175,-0.471090145,-21,-11.25489446
